title,detail_url,act_details_url,enactment_date,document_type,pdf_url,raw_source,act_id,full_text_source,is_amendment,original_detail_url,original_title,original_raw_source,original_act_details_url,original_act_id,original_full_text_source,original_enactment_date
"বঙ্গবন্ধু শেখ মুজিবুর রহমান নভোথিয়েটার (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1523.html,http://bdlaws.minlaw.gov.bd/act-details-1523.html,2025-03-20,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-03-23-11-15-28-Ordinance-No.-10-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1523-html.html,act-1523,data\full_text\act-details-1523.txt,True,http://bdlaws.minlaw.gov.bd/act-1031.html,"নভোথিয়েটার আইন, ২০১০",data\raw\http-bdlaws-minlaw-gov-bd-act-1031-html.html,http://bdlaws.minlaw.gov.bd/act-details-1031.html,act-1031,data\full_text\act-details-1031.txt,2010-03-18
"নারী ও শিশু নির্যাতন দমন (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1524.html,http://bdlaws.minlaw.gov.bd/act-details-1524.html,2025-03-25,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-03-27-12-38-56-২০২৫-সালের-১১-নং-অধ্যাদেশ.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1524-html.html,act-1524,data\full_text\act-details-1524.txt,True,http://bdlaws.minlaw.gov.bd/act-835.html,"নারী ও শিশু নির্যাতন দমন আইন, ২০০০",data\raw\http-bdlaws-minlaw-gov-bd-act-835-html.html,http://bdlaws.minlaw.gov.bd/act-details-835.html,act-835,data\full_text\act-details-835.txt,
"বঙ্গবন্ধু শেখ মুজিব মেডিক্যাল বিশ্ববিদ্যালয় (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1525.html,http://bdlaws.minlaw.gov.bd/act-details-1525.html,2025-04-13,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-04-17-14-11-24-Ordinance-No.-12-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1525-html.html,act-1525,data\full_text\act-details-1525.txt,True,,,,,,,
"শেখ হাসিনা মেডিক্যাল বিশ্ববিদ্যালয়, খুলনা, (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1526.html,http://bdlaws.minlaw.gov.bd/act-details-1526.html,2025-04-13,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-04-20-11-02-13-Ordinance-No.-13-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1526-html.html,act-1526,data\full_text\act-details-1526.txt,True,,,,,,,
"বঙ্গমাতা শেখ ফজিলাতুন্নেছা মুজিব মেডিকেল বিশ্ববিদ্যালয়, সিলেট (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1527.html,http://bdlaws.minlaw.gov.bd/act-details-1527.html,2025-04-13,Ordinance,,data\raw\http-bdlaws-minlaw-gov-bd-act-1527-html.html,act-1527,data\full_text\act-details-1527.txt,True,,,,,,,
"পরিত্যক্ত বাড়ি (সম্পূরক বিধানাবলি) (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1528.html,http://bdlaws.minlaw.gov.bd/act-details-1528.html,2025-04-15,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-04-20-12-15-55-Ordinance-No.-15-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1528-html.html,act-1528,data\full_text\act-details-1528.txt,True,http://bdlaws.minlaw.gov.bd/act-1483.html,"পরিত্যক্ত বাড়ি (সম্পূরক বিধানাবলি) আইন, ২০২৩",data\raw\http-bdlaws-minlaw-gov-bd-act-1483-html.html,http://bdlaws.minlaw.gov.bd/act-details-1483.html,act-1483,data\full_text\act-details-1483.txt,2023-11-13
"পাবলিক প্রকিউরমেন্ট (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1529.html,http://bdlaws.minlaw.gov.bd/act-details-1529.html,2025-04-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-06-11-39-08-Ordinance-No-16-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1529-html.html,act-1529,data\full_text\act-details-1529.txt,True,http://bdlaws.minlaw.gov.bd/act-942.html,"পাবলিক প্রকিউরমেন্ট আইন, ২০০৬",data\raw\http-bdlaws-minlaw-gov-bd-act-942-html.html,http://bdlaws.minlaw.gov.bd/act-details-942.html,act-942,data\full_text\act-details-942.txt,2006-06-07
"সরকারি হিসাব নিরীক্ষা অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1530.html,http://bdlaws.minlaw.gov.bd/act-details-1530.html,2025-04-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-06-11-47-45-Ordinance-No-17-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1530-html.html,act-1530,data\full_text\act-details-1530.txt,False,,,,,,,
"Code of Civil Procedure (Amendment) Ordinance, 2025",http://bdlaws.minlaw.gov.bd/act-1531.html,http://bdlaws.minlaw.gov.bd/act-details-1531.html,2025-08-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-13-09-38-18-Ordinance-No.-18-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1531-html.html,act-1531,data\full_text\act-details-1531.txt,True,http://bdlaws.minlaw.gov.bd/act-86.html,"The Code of Civil Procedure, 1908",data\raw\http-bdlaws-minlaw-gov-bd-act-86-html.html,http://bdlaws.minlaw.gov.bd/act-details-86.html,act-86,data\full_text\act-details-86.txt,1908-03-21
"ব্যাংক রেজল্যুশন অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1532.html,http://bdlaws.minlaw.gov.bd/act-details-1532.html,2025-09-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-13-10-34-31-Ordinance-No.-19-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1532-html.html,act-1532,data\full_text\act-details-1532.txt,False,,,,,,,
"International Crimes (Tribunals) (Second Amendment) Ordinance, 2025",http://bdlaws.minlaw.gov.bd/act-1533.html,http://bdlaws.minlaw.gov.bd/act-details-1533.html,2025-10-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-13-10-41-30-Ordinance-No.-20-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1533-html.html,act-1533,data\full_text\act-details-1533.txt,True,http://bdlaws.minlaw.gov.bd/act-435.html,"The International Crimes (Tribunals) Act, 1973",data\raw\http-bdlaws-minlaw-gov-bd-act-435-html.html,http://bdlaws.minlaw.gov.bd/act-details-435.html,act-435,data\full_text\act-details-435.txt,1973-07-20
"সন্ত্রাস বিরোধী (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1534.html,http://bdlaws.minlaw.gov.bd/act-details-1534.html,2025-11-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-13-11-06-13-Ordinance-No.-21-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1534-html.html,act-1534,data\full_text\act-details-1534.txt,True,http://bdlaws.minlaw.gov.bd/act-1009.html,"সন্ত্রাস বিরোধী আইন, ২০০৯",data\raw\http-bdlaws-minlaw-gov-bd-act-1009-html.html,http://bdlaws.minlaw.gov.bd/act-details-1009.html,act-1009,data\full_text\act-details-1009.txt,
"গ্রামীণ ব্যাংক (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1535.html,http://bdlaws.minlaw.gov.bd/act-details-1535.html,2025-12-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-14-15-20-54-Ordinance-No.-22-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1535-html.html,act-1535,data\full_text\act-details-1535.txt,True,http://bdlaws.minlaw.gov.bd/act-1138.html,"গ্রামীণ ব্যাংক আইন, ২০১৩",data\raw\http-bdlaws-minlaw-gov-bd-act-1138-html.html,http://bdlaws.minlaw.gov.bd/act-details-1138.html,act-1138,data\full_text\act-details-1138.txt,2013-10-11
"জাতীয় সংসদের নির্বাচনি এলাকার সীমানা নির্ধারণ (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1536.html,http://bdlaws.minlaw.gov.bd/act-details-1536.html,2025-12-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-14-15-46-00-Ordinance-No.-23-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1536-html.html,act-1536,data\full_text\act-details-1536.txt,True,http://bdlaws.minlaw.gov.bd/act-1379.html,"জাতীয় সংসদের নির্বাচনি এলাকার সীমানা নির্ধারণ আইন, ২০২১",data\raw\http-bdlaws-minlaw-gov-bd-act-1379-html.html,http://bdlaws.minlaw.gov.bd/act-details-1379.html,act-1379,data\full_text\act-details-1379.txt,2021-09-13
"রাজস্ব নীতি ও রাজস্ব ব্যবস্থাপনা অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1537.html,http://bdlaws.minlaw.gov.bd/act-details-1537.html,2025-12-05,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-06-15-15-33-07-Schedule.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1537-html.html,act-1537,data\full_text\act-details-1537.txt,False,,,,,,,
"সাইবার সুরক্ষা অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1538.html,http://bdlaws.minlaw.gov.bd/act-details-1538.html,2025-05-21,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-25-11-22-35-Ordinance-No.-25-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1538-html.html,act-1538,data\full_text\act-details-1538.txt,False,,,,,,,
"সরকারি চাকরি (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1539.html,http://bdlaws.minlaw.gov.bd/act-details-1539.html,2025-05-25,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-05-29-10-03-30-Ordinance-No.-26-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1539-html.html,act-1539,data\full_text\act-details-1539.txt,True,http://bdlaws.minlaw.gov.bd/act-1271.html,"সরকারি চাকরি আইন, ২০১৮",data\raw\http-bdlaws-minlaw-gov-bd-act-1271-html.html,http://bdlaws.minlaw.gov.bd/act-details-1271.html,act-1271,data\full_text\act-details-1271.txt,2018-11-14
